in_deg_centrality,[1.]
46,"[0.263, 0.407, 0.22, 0.279, 0.249, 0.438, 0.297, 0.427, 0.243, 0.27]"
47,"[0.258, 0.405, 0.218, 0.281, 0.424, 0.433, 0.298, 0.366, 0.495, 0.293]"
48,"[0.263, 0.404, 0.234, 0.281, 0.242, 0.443, 0.296, 0.406, 0.399, 0.295]"
49,"[0.261, 0.419, 0.214, 0.283, 0.433, 0.467, 0.296, 0.429, 0.51, 0.298]"
50,"[0.267, 0.4, 0.218, 0.283, 0.266, 0.435, 0.296, 0.421, 0.398, 0.297]"
51,"[0.265, 0.414, 0.22, 0.281, 0.482, 0.426, 0.295, 0.431, 0.449, 0.284]"
52,"[0.258, 0.395, 0.221, 0.282, 0.287, 0.485, 0.296, 0.406, 0.475, 0.282]"
53,"[0.263, 0.389, 0.222, 0.286, 0.473, 0.465, 0.296, 0.372, 0.406, 0.281]"
54,"[0.26, 0.404, 0.225, 0.279, 0.265, 0.457, 0.297, 0.414, 0.452, 0.29]"
55,"[0.261, 0.429, 0.225, 0.284, 0.456, 0.402, 0.297, 0.428, 0.514, 0.295]"
56,"[0.261, 0.395, 0.22, 0.279, 0.241, 0.485, 0.297, 0.429, 0.436, 0.279]"
57,"[0.262, 0.412, 0.212, 0.283, 0.494, 0.422, 0.297, 0.399, 0.404, 0.282]"
58,"[0.264, 0.415, 0.228, 0.287, 0.266, 0.541, 0.296, 0.387, 0.379, 0.295]"
59,"[0.26, 0.428, 0.218, 0.285, 0.51, 0.452, 0.296, 0.423, 0.44, 0.287]"
60,"[0.263, 0.403, 0.246, 0.279, 0.262, 0.453, 0.297, 0.413, 0.548, 0.29]"
61,"[0.258, 0.41, 0.231, 0.284, 0.472, 0.408, 0.296, 0.403, 0.433, 0.273]"
62,"[0.262, 0.4, 0.229, 0.289, 0.264, 0.472, 0.296, 0.389, 0.398, 0.292]"
63,"[0.266, 0.402, 0.222, 0.284, 0.453, 0.466, 0.301, 0.421, 0.335, 0.271]"
64,"[0.261, 0.401, 0.24, 0.284, 0.249, 0.479, 0.295, 0.44, 0.46, 0.3]"
65,"[0.266, 0.427, 0.207, 0.284, 0.446, 0.494, 0.296, 0.385, 0.475, 0.295]"
66,"[0.263, 0.42, 0.236, 0.289, 0.265, 0.517, 0.296, 0.453, 0.45, 0.293]"
67,"[0.265, 0.425, 0.224, 0.285, 0.431, 0.404, 0.294, 0.429, 0.381, 0.291]"
68,"[0.262, 0.409, 0.244, 0.28, 0.264, 0.512, 0.297, 0.446, 0.393, 0.296]"
69,"[0.263, 0.414, 0.232, 0.284, 0.413, 0.495, 0.297, 0.378, 0.566, 0.274]"
70,"[0.264, 0.417, 0.229, 0.282, 0.31, 0.53, 0.297, 0.42, 0.439, 0.289]"
71,"[0.26, 0.428, 0.211, 0.303, 0.47, 0.475, 0.296, 0.428, 0.353, 0.274]"
72,"[0.255, 0.415, 0.225, 0.298, 0.265, 0.526, 0.296, 0.422, 0.477, 0.295]"
73,"[0.263, 0.435, 0.221, 0.283, 0.476, 0.481, 0.301, 0.422, 0.433, 0.292]"
74,"[0.265, 0.416, 0.238, 0.298, 0.255, 0.505, 0.296, 0.469, 0.369, 0.288]"
75,"[0.264, 0.442, 0.224, 0.281, 0.447, 0.499, 0.297, 0.4, 0.405, 0.293]"
76,"[0.263, 0.416, 0.224, 0.301, 0.264, 0.512, 0.316, 0.377, 0.452, 0.29]"
77,"[0.266, 0.447, 0.243, 0.294, 0.438, 0.518, 0.3, 0.401, 0.346, 0.294]"
78,"[0.265, 0.392, 0.246, 0.291, 0.246, 0.482, 0.301, 0.458, 0.425, 0.295]"
79,"[0.265, 0.451, 0.206, 0.302, 0.445, 0.459, 0.308, 0.42, 0.233, 0.288]"
80,"[0.263, 0.394, 0.218, 0.298, 0.267, 0.539, 0.297, 0.437, 0.387, 0.288]"
81,"[0.264, 0.438, 0.24, 0.282, 0.464, 0.464, 0.296, 0.447, 0.504, 0.269]"
82,"[0.265, 0.417, 0.261, 0.281, 0.244, 0.51, 0.308, 0.44, 0.448, 0.261]"
83,"[0.261, 0.457, 0.264, 0.297, 0.437, 0.512, 0.296, 0.454, 0.402, 0.285]"
84,"[0.264, 0.407, 0.259, 0.283, 0.263, 0.506, 0.296, 0.391, 0.511, 0.282]"
85,"[0.264, 0.445, 0.208, 0.305, 0.448, 0.457, 0.297, 0.416, 0.498, 0.263]"
86,"[0.263, 0.401, 0.25, 0.281, 0.263, 0.512, 0.297, 0.459, 0.515, 0.291]"
87,"[0.264, 0.452, 0.233, 0.29, 0.498, 0.501, 0.297, 0.445, 0.451, 0.292]"
88,"[0.265, 0.412, 0.241, 0.283, 0.311, 0.556, 0.296, 0.475, 0.449, 0.288]"
89,"[0.264, 0.43, 0.239, 0.311, 0.46, 0.522, 0.297, 0.462, 0.427, 0.274]"
90,"[0.265, 0.402, 0.25, 0.281, 0.253, 0.547, 0.296, 0.409, 0.374, 0.296]"
91,"[0.264, 0.451, 0.261, 0.298, 0.411, 0.492, 0.297, 0.441, 0.419, 0.284]"
92,"[0.266, 0.406, 0.252, 0.288, 0.267, 0.528, 0.301, 0.434, 0.456, 0.273]"
93,"[0.263, 0.443, 0.249, 0.295, 0.462, 0.5, 0.296, 0.428, 0.408, 0.283]"
94,"[0.261, 0.405, 0.267, 0.3, 0.268, 0.538, 0.296, 0.473, 0.572, 0.296]"
95,"[0.263, 0.464, 0.233, 0.315, 0.462, 0.46, 0.297, 0.396, 0.366, 0.296]"
96,"[0.266, 0.411, 0.258, 0.283, 0.236, 0.532, 0.295, 0.437, 0.406, 0.281]"
97,"[0.263, 0.449, 0.248, 0.326, 0.431, 0.509, 0.297, 0.45, 0.493, 0.28]"
98,"[0.266, 0.397, 0.272, 0.28, 0.269, 0.538, 0.309, 0.416, 0.509, 0.292]"
99,"[0.26, 0.428, 0.258, 0.316, 0.494, 0.543, 0.297, 0.407, 0.498, 0.296]"
closeness_centrality,[1.]
0,"[0.247, 0.292, 0.243, 0.27, 0.214, 0.231, 0.288, 0.293, 0.284, 0.284]"
1,"[0.249, 0.294, 0.214, 0.271, 0.211, 0.21, 0.286, 0.296, 0.306, 0.285]"
2,"[0.248, 0.295, 0.204, 0.274, 0.207, 0.232, 0.283, 0.299, 0.272, 0.291]"
3,"[0.247, 0.294, 0.203, 0.276, 0.225, 0.221, 0.284, 0.303, 0.309, 0.291]"
4,"[0.249, 0.294, 0.203, 0.275, 0.225, 0.24, 0.287, 0.308, 0.309, 0.283]"
5,"[0.25, 0.293, 0.203, 0.275, 0.245, 0.242, 0.286, 0.299, 0.304, 0.29]"
6,"[0.25, 0.295, 0.243, 0.272, 0.28, 0.251, 0.289, 0.308, 0.31, 0.293]"
7,"[0.25, 0.295, 0.17, 0.273, 0.241, 0.243, 0.287, 0.309, 0.309, 0.288]"
8,"[0.252, 0.294, 0.208, 0.275, 0.282, 0.253, 0.291, 0.307, 0.311, 0.277]"
9,"[0.251, 0.295, 0.228, 0.276, 0.251, 0.301, 0.291, 0.309, 0.311, 0.288]"
10,"[0.256, 0.335, 0.203, 0.276, 0.334, 0.262, 0.291, 0.312, 0.311, 0.291]"
11,"[0.252, 0.296, 0.174, 0.277, 0.242, 0.317, 0.289, 0.309, 0.311, 0.287]"
12,"[0.254, 0.369, 0.202, 0.276, 0.309, 0.325, 0.293, 0.332, 0.311, 0.278]"
13,"[0.254, 0.316, 0.223, 0.277, 0.253, 0.37, 0.291, 0.323, 0.311, 0.293]"
14,"[0.253, 0.387, 0.204, 0.278, 0.245, 0.335, 0.289, 0.345, 0.312, 0.276]"
15,"[0.253, 0.327, 0.187, 0.276, 0.252, 0.358, 0.295, 0.325, 0.312, 0.296]"
16,"[0.256, 0.378, 0.204, 0.277, 0.333, 0.36, 0.297, 0.339, 0.312, 0.294]"
17,"[0.261, 0.374, 0.182, 0.275, 0.244, 0.368, 0.295, 0.327, 0.311, 0.296]"
18,"[0.262, 0.389, 0.211, 0.276, 0.424, 0.376, 0.293, 0.353, 0.311, 0.291]"
19,"[0.254, 0.377, 0.203, 0.278, 0.25, 0.383, 0.295, 0.358, 0.311, 0.29]"
20,"[0.26, 0.393, 0.215, 0.276, 0.281, 0.371, 0.295, 0.383, 0.311, 0.284]"
21,"[0.258, 0.395, 0.222, 0.274, 0.248, 0.411, 0.298, 0.368, 0.312, 0.283]"
22,"[0.258, 0.394, 0.205, 0.274, 0.343, 0.387, 0.293, 0.35, 0.313, 0.285]"
23,"[0.254, 0.378, 0.222, 0.279, 0.254, 0.403, 0.296, 0.374, 0.312, 0.295]"
24,"[0.257, 0.385, 0.205, 0.278, 0.346, 0.403, 0.294, 0.359, 0.312, 0.281]"
25,"[0.26, 0.185, 0.184, 0.29, 0.262, 0.436, 0.296, 0.393, 0.311, 0.288]"
26,"[0.26, 0.092, 0.173, 0.278, 0.372, 0.38, 0.295, 0.323, 0.312, 0.289]"
27,"[0.26, 0.159, 0.203, 0.278, 0.255, 0.396, 0.295, 0.353, 0.311, 0.284]"
28,"[0.256, 0.257, 0.21, 0.277, 0.411, 0.447, 0.295, 0.337, 0.312, 0.291]"
29,"[0.255, 0.258, 0.205, 0.282, 0.242, 0.425, 0.294, 0.377, 0.312, 0.291]"
30,"[0.258, 0.262, 0.204, 0.28, 0.412, 0.385, 0.296, 0.332, 0.312, 0.291]"
31,"[0.263, 0.264, 0.224, 0.277, 0.262, 0.441, 0.295, 0.382, 0.313, 0.294]"
32,"[0.254, 0.279, 0.217, 0.279, 0.449, 0.414, 0.298, 0.354, 0.312, 0.276]"
33,"[0.254, 0.286, 0.206, 0.28, 0.233, 0.437, 0.296, 0.353, 0.312, 0.277]"
34,"[0.262, 0.34, 0.235, 0.278, 0.432, 0.414, 0.296, 0.367, 0.313, 0.282]"
35,"[0.255, 0.264, 0.211, 0.28, 0.256, 0.435, 0.297, 0.361, 0.313, 0.284]"
36,"[0.26, 0.407, 0.209, 0.281, 0.478, 0.365, 0.293, 0.35, 0.312, 0.286]"
37,"[0.25, 0.325, 0.243, 0.279, 0.231, 0.398, 0.296, 0.401, 0.313, 0.285]"
38,"[0.258, 0.333, 0.204, 0.276, 0.444, 0.381, 0.297, 0.367, 0.312, 0.281]"
39,"[0.262, 0.397, 0.209, 0.312, 0.243, 0.446, 0.296, 0.414, 0.314, 0.294]"
40,"[0.258, 0.372, 0.222, 0.284, 0.408, 0.427, 0.3, 0.386, 0.312, 0.272]"
41,"[0.255, 0.3, 0.21, 0.296, 0.251, 0.442, 0.299, 0.385, 0.312, 0.284]"
42,"[0.26, 0.416, 0.209, 0.279, 0.439, 0.414, 0.295, 0.402, 0.312, 0.257]"
43,"[0.261, 0.367, 0.218, 0.299, 0.259, 0.407, 0.295, 0.434, 0.312, 0.286]"
44,"[0.255, 0.442, 0.209, 0.28, 0.473, 0.444, 0.293, 0.358, 0.313, 0.268]"
