eigenvector_centrality,"[9, 14]"
61,"[0.3740648379052369, 0.185, 0.095, 0.095, 0.44, 0.42, 0.1275, 0.3975, 0.3575, 0.5825, 0.11, 0.285, 0.1075, 0.2925, 0.5025, 0.17, 0.3125, 0.2075, 0.145, 0.0875, 0.4125, 0.2125, 0.395, 0.4025, 0.5238095238095238]"
62,"[0.11970074812967581, 0.48, 0.37, 0.4575, 0.205, 0.0925, 0.38, 0.1175, 0.2275, 0.405, 0.37, 0.29, 0.41, 0.435, 0.5425, 0.485, 0.32, 0.3775, 0.515, 0.4275, 0.1075, 0.3275, 0.0975, 0.1425, 0.16541353383458646]"
63,"[0.38154613466334164, 0.1825, 0.0925, 0.0925, 0.4375, 0.425, 0.1125, 0.4075, 0.36, 0.5675, 0.11, 0.2725, 0.1075, 0.2875, 0.4925, 0.165, 0.3125, 0.2125, 0.155, 0.0875, 0.4125, 0.1875, 0.4075, 0.4075, 0.5238095238095238]"
64,"[0.11970074812967581, 0.48, 0.3725, 0.4575, 0.1975, 0.0975, 0.3925, 0.1175, 0.1525, 0.405, 0.375, 0.2925, 0.425, 0.4325, 0.5375, 0.485, 0.3175, 0.3425, 0.51, 0.42, 0.1075, 0.3225, 0.1125, 0.1575, 0.16040100250626566]"
65,"[0.38902743142144636, 0.175, 0.0925, 0.0925, 0.4275, 0.4225, 0.11, 0.4125, 0.3825, 0.5725, 0.11, 0.235, 0.1075, 0.285, 0.475, 0.1575, 0.3075, 0.21, 0.1675, 0.09, 0.4125, 0.17, 0.4075, 0.415, 0.5137844611528822]"
66,"[0.11970074812967581, 0.4725, 0.3775, 0.45, 0.1925, 0.105, 0.3925, 0.1175, 0.1475, 0.4075, 0.3775, 0.3125, 0.42, 0.4275, 0.6, 0.485, 0.31, 0.325, 0.51, 0.4275, 0.1075, 0.32, 0.1475, 0.18, 0.14285714285714285]"
67,"[0.38403990024937656, 0.1775, 0.0925, 0.0925, 0.425, 0.4225, 0.11, 0.4125, 0.3925, 0.555, 0.11, 0.19, 0.11, 0.2775, 0.4725, 0.1575, 0.3025, 0.2125, 0.1525, 0.095, 0.4175, 0.155, 0.4225, 0.4075, 0.5087719298245614]"
68,"[0.11970074812967581, 0.4775, 0.3825, 0.45, 0.1725, 0.1175, 0.395, 0.1175, 0.1325, 0.405, 0.38, 0.3325, 0.4225, 0.41, 0.6125, 0.4875, 0.3025, 0.3175, 0.5125, 0.43, 0.1075, 0.315, 0.17, 0.22, 0.13533834586466165]"
69,"[0.38403990024937656, 0.1775, 0.0925, 0.1025, 0.43, 0.43, 0.11, 0.4175, 0.39, 0.5425, 0.115, 0.15, 0.11, 0.2775, 0.4575, 0.1575, 0.28, 0.2175, 0.1475, 0.1025, 0.425, 0.15, 0.4375, 0.4175, 0.5137844611528822]"
70,"[0.11970074812967581, 0.485, 0.3825, 0.4525, 0.155, 0.13, 0.38, 0.1175, 0.13, 0.415, 0.385, 0.3525, 0.4475, 0.3925, 0.625, 0.4775, 0.3225, 0.295, 0.5, 0.4325, 0.1075, 0.315, 0.1725, 0.235, 0.13533834586466165]"
71,"[0.3765586034912718, 0.17, 0.095, 0.11, 0.4275, 0.4425, 0.11, 0.4175, 0.3925, 0.555, 0.1175, 0.115, 0.11, 0.2675, 0.4625, 0.155, 0.275, 0.2075, 0.15, 0.1, 0.4325, 0.165, 0.43, 0.4425, 0.5112781954887218]"
72,"[0.11970074812967581, 0.49, 0.3825, 0.4475, 0.145, 0.15, 0.3825, 0.1175, 0.12, 0.41, 0.395, 0.395, 0.4525, 0.405, 0.6275, 0.47, 0.34, 0.295, 0.5, 0.4325, 0.11, 0.295, 0.17, 0.2275, 0.14536340852130325]"
73,"[0.38154613466334164, 0.175, 0.095, 0.1125, 0.4275, 0.44, 0.11, 0.4175, 0.3725, 0.5425, 0.1175, 0.095, 0.1125, 0.265, 0.5025, 0.15, 0.265, 0.2225, 0.1475, 0.105, 0.4275, 0.18, 0.4525, 0.4475, 0.5037593984962406]"
74,"[0.11970074812967581, 0.49, 0.3825, 0.445, 0.1525, 0.15, 0.385, 0.1175, 0.12, 0.3875, 0.4, 0.4125, 0.46, 0.375, 0.62, 0.4675, 0.3475, 0.2425, 0.5, 0.4325, 0.11, 0.3, 0.15, 0.225, 0.13784461152882205]"
75,"[0.38154613466334164, 0.1725, 0.095, 0.1075, 0.4275, 0.44, 0.11, 0.415, 0.38, 0.5725, 0.115, 0.0925, 0.12, 0.2625, 0.5075, 0.145, 0.185, 0.2325, 0.145, 0.105, 0.43, 0.1775, 0.455, 0.4675, 0.49373433583959897]"
76,"[0.11970074812967581, 0.4925, 0.38, 0.45, 0.145, 0.1525, 0.39, 0.115, 0.12, 0.395, 0.405, 0.4175, 0.4625, 0.3525, 0.6, 0.4675, 0.35, 0.1475, 0.49, 0.435, 0.1075, 0.29, 0.1575, 0.2125, 0.14285714285714285]"
77,"[0.3865336658354115, 0.1675, 0.095, 0.115, 0.4225, 0.45, 0.11, 0.4175, 0.385, 0.5675, 0.12, 0.0925, 0.13, 0.255, 0.4975, 0.145, 0.1125, 0.2675, 0.145, 0.11, 0.43, 0.155, 0.4575, 0.48, 0.49122807017543857]"
78,"[0.11970074812967581, 0.495, 0.3825, 0.46, 0.1375, 0.1525, 0.39, 0.115, 0.12, 0.3925, 0.41, 0.43, 0.4625, 0.3125, 0.6075, 0.465, 0.3725, 0.1, 0.4925, 0.435, 0.1075, 0.275, 0.1625, 0.2025, 0.13784461152882205]"
79,"[0.38902743142144636, 0.1675, 0.095, 0.1275, 0.415, 0.4525, 0.11, 0.4225, 0.3875, 0.575, 0.12, 0.09, 0.1375, 0.25, 0.4975, 0.145, 0.0925, 0.3025, 0.145, 0.1175, 0.4325, 0.15, 0.46, 0.4775, 0.48872180451127817]"
