out_deg_centrality,[ 1 13 14 15]
76,"[tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
77,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
78,"[tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
79,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
80,"[tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
81,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
82,"[tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
83,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
84,"[tensor(0.0036, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
85,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
86,"[tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
87,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
88,"[tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
89,"[tensor(0.0040, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
90,"[tensor(0.0035, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
91,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
92,"[tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0037, device='cuda:5')]"
93,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
94,"[tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
95,"[tensor(0.0040, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
96,"[tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
97,"[tensor(0.0040, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
98,"[tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0038, device='cuda:5')]"
99,"[tensor(0.0040, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0041, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0038, device='cuda:5'), tensor(0.0037, device='cuda:5'), tensor(0.0034, device='cuda:5'), tensor(0.0035, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0036, device='cuda:5'), tensor(0.0040, device='cuda:5'), tensor(0.0039, device='cuda:5')]"
