eigenvector_centrality,"[15, 20]"
75,"[0.4912718204488778, 0.5125, 0.505, 0.4125, 0.355, 0.515, 0.3675, 0.3025, 0.465, 0.49, 0.4525, 0.4425, 0.495, 0.48, 0.3625, 0.4275, 0.4475, 0.4825, 0.425, 0.49, 0.37, 0.305, 0.465, 0.5, 0.5037593984962406]"
76,"[0.4239401496259352, 0.41, 0.5575, 0.52, 0.47, 0.36, 0.405, 0.435, 0.44, 0.5175, 0.3625, 0.3675, 0.4075, 0.415, 0.45, 0.4475, 0.4, 0.4025, 0.38, 0.345, 0.46, 0.41, 0.565, 0.3975, 0.39348370927318294]"
77,"[0.4937655860349127, 0.4825, 0.4875, 0.4025, 0.3625, 0.505, 0.3775, 0.3075, 0.4575, 0.465, 0.4525, 0.46, 0.515, 0.5, 0.3425, 0.41, 0.45, 0.465, 0.4275, 0.51, 0.3525, 0.3075, 0.5025, 0.4625, 0.48621553884711777]"
78,"[0.39900249376558605, 0.415, 0.47, 0.4875, 0.4625, 0.3575, 0.3525, 0.4325, 0.4525, 0.4925, 0.3375, 0.365, 0.4, 0.4, 0.47, 0.475, 0.39, 0.3775, 0.35, 0.3425, 0.46, 0.3725, 0.4675, 0.36, 0.42857142857142855]"
79,"[0.4937655860349127, 0.4975, 0.5075, 0.35, 0.3575, 0.52, 0.4075, 0.31, 0.5075, 0.47, 0.4375, 0.455, 0.52, 0.505, 0.36, 0.4525, 0.4275, 0.5025, 0.47, 0.5075, 0.35, 0.3175, 0.4125, 0.495, 0.5087719298245614]"
80,"[0.4314214463840399, 0.395, 0.3975, 0.4875, 0.455, 0.35, 0.345, 0.435, 0.49, 0.53, 0.3825, 0.375, 0.385, 0.44, 0.4725, 0.5025, 0.3875, 0.4175, 0.3425, 0.3325, 0.54, 0.35, 0.43, 0.355, 0.40852130325814534]"
81,"[0.4937655860349127, 0.5225, 0.485, 0.375, 0.3525, 0.5475, 0.48, 0.2975, 0.535, 0.5125, 0.44, 0.44, 0.53, 0.4975, 0.4875, 0.3725, 0.4075, 0.4825, 0.485, 0.485, 0.355, 0.395, 0.3825, 0.4925, 0.5388471177944862]"
82,"[0.4513715710723192, 0.455, 0.42, 0.48, 0.4475, 0.4075, 0.4025, 0.445, 0.49, 0.5325, 0.4625, 0.405, 0.4225, 0.56, 0.445, 0.4775, 0.41, 0.475, 0.375, 0.35, 0.56, 0.37, 0.4175, 0.41, 0.40601503759398494]"
83,"[0.4837905236907731, 0.4775, 0.4375, 0.4325, 0.3625, 0.5275, 0.495, 0.3275, 0.5725, 0.5225, 0.47, 0.46, 0.5525, 0.56, 0.4375, 0.3875, 0.4075, 0.48, 0.52, 0.4625, 0.395, 0.4, 0.3375, 0.525, 0.531328320802005]"
84,"[0.42144638403990026, 0.395, 0.385, 0.4925, 0.43, 0.425, 0.4775, 0.4025, 0.4725, 0.4425, 0.4925, 0.4525, 0.4, 0.49, 0.4325, 0.5125, 0.4375, 0.395, 0.4125, 0.355, 0.51, 0.4225, 0.44, 0.4125, 0.41102756892230574]"
85,"[0.4339152119700748, 0.3975, 0.37, 0.4875, 0.3525, 0.52, 0.38, 0.3375, 0.5825, 0.38, 0.4875, 0.435, 0.48, 0.515, 0.39, 0.4075, 0.335, 0.4875, 0.4625, 0.43, 0.4225, 0.3625, 0.305, 0.45, 0.48370927318295737]"
86,"[0.4114713216957606, 0.37, 0.3825, 0.48, 0.4075, 0.3775, 0.355, 0.39, 0.42, 0.3975, 0.48, 0.4975, 0.465, 0.48, 0.4325, 0.395, 0.435, 0.4075, 0.4525, 0.3525, 0.46, 0.46, 0.4125, 0.4325, 0.41854636591478694]"
87,"[0.44389027431421446, 0.4025, 0.385, 0.41, 0.3525, 0.46, 0.375, 0.325, 0.4475, 0.3725, 0.32, 0.385, 0.4025, 0.4575, 0.4125, 0.3875, 0.37, 0.4525, 0.47, 0.445, 0.405, 0.42, 0.3325, 0.4675, 0.46365914786967416]"
88,"[0.40648379052369077, 0.355, 0.4025, 0.4675, 0.4425, 0.42, 0.3475, 0.425, 0.43, 0.4625, 0.4625, 0.5175, 0.45, 0.485, 0.4975, 0.3625, 0.425, 0.44, 0.415, 0.3925, 0.535, 0.53, 0.425, 0.4375, 0.40852130325814534]"
89,"[0.486284289276808, 0.4725, 0.345, 0.4075, 0.365, 0.4075, 0.4075, 0.3425, 0.3675, 0.4025, 0.3275, 0.33, 0.385, 0.4325, 0.37, 0.4375, 0.365, 0.3725, 0.5075, 0.385, 0.42, 0.41, 0.3325, 0.485, 0.41854636591478694]"
90,"[0.428927680798005, 0.3725, 0.4425, 0.4775, 0.45, 0.4225, 0.3125, 0.385, 0.425, 0.52, 0.47, 0.4825, 0.425, 0.5025, 0.5, 0.375, 0.48, 0.4275, 0.3525, 0.4725, 0.445, 0.43, 0.395, 0.38, 0.3057644110275689]"
