eigenvector_centrality,"[0, 9]"
68,"[0.4912718204488778, 0.1825, 0.195, 0.15, 0.1525, 0.19, 0.1875, 0.215, 0.1575, 0.4075, 0.2175, 0.2075, 0.185, 0.175, 0.17, 0.225, 0.16, 0.24, 0.145, 0.1925, 0.19, 0.195, 0.1825, 0.215, 0.20551378446115287]"
69,"[0.5386533665835411, 0.215, 0.2125, 0.235, 0.205, 0.18, 0.1875, 0.1625, 0.2075, 0.535, 0.185, 0.1975, 0.1925, 0.2175, 0.2275, 0.2175, 0.1625, 0.15, 0.18, 0.1675, 0.15, 0.2, 0.1825, 0.245, 0.21303258145363407]"
70,"[0.5062344139650873, 0.185, 0.195, 0.1525, 0.1525, 0.1875, 0.1775, 0.2125, 0.1625, 0.4025, 0.23, 0.2125, 0.185, 0.175, 0.17, 0.23, 0.16, 0.2375, 0.1475, 0.195, 0.19, 0.195, 0.1825, 0.215, 0.20551378446115287]"
71,"[0.5536159600997507, 0.2225, 0.215, 0.2425, 0.1975, 0.175, 0.1925, 0.1625, 0.1975, 0.5225, 0.1875, 0.195, 0.21, 0.2275, 0.225, 0.2175, 0.1725, 0.1475, 0.1825, 0.1625, 0.15, 0.2025, 0.185, 0.245, 0.21804511278195488]"
72,"[0.513715710723192, 0.1875, 0.195, 0.1525, 0.15, 0.19, 0.1725, 0.2175, 0.17, 0.41, 0.2375, 0.215, 0.1825, 0.18, 0.1625, 0.2275, 0.16, 0.235, 0.1475, 0.195, 0.19, 0.2, 0.1825, 0.2125, 0.20551378446115287]"
73,"[0.5561097256857855, 0.225, 0.2225, 0.24, 0.2, 0.1725, 0.195, 0.1625, 0.1875, 0.51, 0.185, 0.195, 0.2125, 0.23, 0.23, 0.215, 0.1725, 0.1475, 0.18, 0.16, 0.15, 0.19, 0.1775, 0.25, 0.22556390977443608]"
74,"[0.5087281795511222, 0.1875, 0.185, 0.15, 0.15, 0.19, 0.17, 0.2175, 0.17, 0.42, 0.2375, 0.2175, 0.1725, 0.1775, 0.1625, 0.225, 0.16, 0.235, 0.155, 0.1975, 0.19, 0.2025, 0.1775, 0.21, 0.20551378446115287]"
75,"[0.5286783042394015, 0.215, 0.2225, 0.245, 0.2125, 0.1675, 0.195, 0.1575, 0.1825, 0.4875, 0.1825, 0.1925, 0.2325, 0.2475, 0.24, 0.2075, 0.1875, 0.14, 0.17, 0.1575, 0.14, 0.1925, 0.18, 0.2625, 0.23308270676691728]"
76,"[0.5660847880299252, 0.1875, 0.17, 0.15, 0.15, 0.185, 0.155, 0.215, 0.165, 0.4525, 0.2275, 0.2225, 0.165, 0.1675, 0.16, 0.225, 0.16, 0.2375, 0.1575, 0.2, 0.1875, 0.2175, 0.165, 0.1825, 0.19298245614035087]"
77,"[0.4513715710723192, 0.2175, 0.2325, 0.245, 0.2075, 0.1675, 0.1975, 0.155, 0.1825, 0.4925, 0.1825, 0.19, 0.235, 0.245, 0.24, 0.21, 0.18, 0.1425, 0.1675, 0.15, 0.14, 0.1875, 0.1775, 0.28, 0.22556390977443608]"
78,"[0.5935162094763092, 0.1825, 0.17, 0.145, 0.145, 0.18, 0.15, 0.2175, 0.165, 0.47, 0.2225, 0.2175, 0.16, 0.165, 0.1575, 0.22, 0.155, 0.245, 0.16, 0.2, 0.1825, 0.2175, 0.16, 0.175, 0.18546365914786966]"
