eigenvector_centrality,[]
74,"[0.1485148514851485, 0.31, 0.19, 0.1, 0.19, 0.15, 0.15, 0.26, 0.19, 0.12, 0.27, 0.19, 0.12, 0.19, 0.14, 0.28, 0.26, 0.24, 0.12, 0.12, 0.1, 0.09, 0.23, 0.22, 0.2, 0.2, 0.35, 0.28, 0.3, 0.19, 0.21, 0.1, 0.15, 0.22, 0.33, 0.14, 0.3, 0.13, 0.23, 0.14, 0.11, 0.2, 0.07, 0.29, 0.07, 0.14, 0.15, 0.23, 0.2, 0.16, 0.17, 0.12, 0.26, 0.2, 0.25, 0.22, 0.14, 0.17, 0.21, 0.22, 0.17, 0.17, 0.32, 0.22, 0.13, 0.14, 0.3, 0.24, 0.19, 0.17, 0.2, 0.14, 0.35, 0.25, 0.23, 0.18, 0.06, 0.13, 0.2, 0.16, 0.13, 0.11, 0.09, 0.09, 0.18, 0.09, 0.14, 0.17, 0.21, 0.11, 0.17, 0.1, 0.24, 0.04, 0.23, 0.14, 0.28, 0.17, 0.21, 0.16161616161616163]"
75,"[0.22772277227722773, 0.17, 0.22, 0.22, 0.09, 0.26, 0.12, 0.14, 0.08, 0.32, 0.2, 0.22, 0.11, 0.11, 0.24, 0.12, 0.19, 0.24, 0.15, 0.22, 0.14, 0.27, 0.17, 0.22, 0.22, 0.11, 0.12, 0.17, 0.08, 0.22, 0.2, 0.24, 0.17, 0.12, 0.12, 0.19, 0.15, 0.16, 0.12, 0.19, 0.28, 0.18, 0.22, 0.07, 0.2, 0.1, 0.11, 0.21, 0.12, 0.27, 0.24, 0.11, 0.19, 0.21, 0.14, 0.3, 0.17, 0.15, 0.21, 0.11, 0.19, 0.2, 0.15, 0.22, 0.2, 0.29, 0.12, 0.15, 0.12, 0.16, 0.16, 0.11, 0.1, 0.12, 0.18, 0.21, 0.23, 0.07, 0.17, 0.12, 0.15, 0.32, 0.25, 0.28, 0.23, 0.27, 0.22, 0.16, 0.19, 0.18, 0.24, 0.2, 0.15, 0.19, 0.18, 0.12, 0.15, 0.16, 0.16, 0.21212121212121213]"
76,"[0.15841584158415842, 0.31, 0.19, 0.1, 0.19, 0.15, 0.15, 0.26, 0.19, 0.13, 0.26, 0.19, 0.13, 0.18, 0.14, 0.29, 0.27, 0.24, 0.13, 0.13, 0.11, 0.1, 0.23, 0.22, 0.2, 0.2, 0.35, 0.3, 0.31, 0.19, 0.21, 0.1, 0.15, 0.22, 0.33, 0.14, 0.33, 0.13, 0.23, 0.16, 0.11, 0.19, 0.07, 0.29, 0.06, 0.14, 0.15, 0.24, 0.2, 0.16, 0.17, 0.12, 0.27, 0.2, 0.24, 0.22, 0.14, 0.2, 0.21, 0.22, 0.17, 0.22, 0.31, 0.22, 0.13, 0.14, 0.31, 0.23, 0.2, 0.18, 0.19, 0.14, 0.35, 0.28, 0.24, 0.19, 0.06, 0.13, 0.2, 0.16, 0.13, 0.1, 0.09, 0.09, 0.18, 0.09, 0.13, 0.17, 0.21, 0.11, 0.17, 0.1, 0.29, 0.04, 0.23, 0.14, 0.28, 0.15, 0.21, 0.1717171717171717]"
77,"[0.2376237623762376, 0.17, 0.23, 0.21, 0.09, 0.27, 0.11, 0.14, 0.08, 0.33, 0.2, 0.22, 0.11, 0.08, 0.24, 0.12, 0.19, 0.24, 0.16, 0.19, 0.15, 0.28, 0.17, 0.22, 0.22, 0.14, 0.12, 0.18, 0.08, 0.22, 0.2, 0.24, 0.17, 0.13, 0.12, 0.19, 0.15, 0.16, 0.17, 0.2, 0.28, 0.18, 0.23, 0.07, 0.2, 0.1, 0.13, 0.21, 0.13, 0.27, 0.24, 0.11, 0.19, 0.19, 0.12, 0.3, 0.17, 0.18, 0.21, 0.16, 0.19, 0.27, 0.15, 0.22, 0.2, 0.29, 0.12, 0.17, 0.15, 0.16, 0.16, 0.11, 0.1, 0.12, 0.17, 0.21, 0.23, 0.07, 0.16, 0.12, 0.15, 0.32, 0.25, 0.28, 0.23, 0.27, 0.22, 0.16, 0.2, 0.18, 0.24, 0.18, 0.15, 0.21, 0.18, 0.11, 0.15, 0.16, 0.17, 0.23232323232323232]"
78,"[0.15841584158415842, 0.3, 0.19, 0.1, 0.2, 0.15, 0.14, 0.26, 0.19, 0.14, 0.28, 0.17, 0.14, 0.19, 0.17, 0.28, 0.29, 0.24, 0.14, 0.13, 0.11, 0.11, 0.24, 0.22, 0.2, 0.2, 0.35, 0.3, 0.34, 0.2, 0.21, 0.1, 0.15, 0.22, 0.34, 0.14, 0.36, 0.17, 0.24, 0.19, 0.11, 0.22, 0.08, 0.28, 0.08, 0.15, 0.16, 0.26, 0.2, 0.13, 0.17, 0.12, 0.28, 0.22, 0.24, 0.22, 0.14, 0.19, 0.22, 0.22, 0.17, 0.19, 0.31, 0.21, 0.14, 0.14, 0.31, 0.26, 0.2, 0.19, 0.2, 0.14, 0.35, 0.29, 0.24, 0.18, 0.07, 0.15, 0.2, 0.16, 0.13, 0.11, 0.09, 0.09, 0.18, 0.09, 0.13, 0.17, 0.21, 0.11, 0.17, 0.1, 0.29, 0.05, 0.24, 0.14, 0.27, 0.1, 0.21, 0.20202020202020202]"
79,"[0.2376237623762376, 0.17, 0.22, 0.23, 0.09, 0.29, 0.12, 0.14, 0.08, 0.33, 0.24, 0.22, 0.12, 0.08, 0.24, 0.12, 0.2, 0.23, 0.18, 0.21, 0.15, 0.33, 0.17, 0.22, 0.22, 0.17, 0.12, 0.18, 0.08, 0.22, 0.21, 0.25, 0.17, 0.13, 0.12, 0.19, 0.15, 0.16, 0.18, 0.22, 0.28, 0.17, 0.23, 0.07, 0.2, 0.12, 0.13, 0.21, 0.13, 0.27, 0.24, 0.12, 0.2, 0.2, 0.12, 0.3, 0.17, 0.15, 0.21, 0.19, 0.19, 0.31, 0.16, 0.23, 0.2, 0.29, 0.12, 0.19, 0.16, 0.16, 0.16, 0.11, 0.1, 0.12, 0.17, 0.21, 0.23, 0.07, 0.17, 0.12, 0.15, 0.31, 0.25, 0.28, 0.23, 0.29, 0.22, 0.16, 0.2, 0.18, 0.24, 0.18, 0.16, 0.22, 0.23, 0.11, 0.15, 0.17, 0.21, 0.29292929292929293]"
80,"[0.15841584158415842, 0.3, 0.19, 0.1, 0.2, 0.15, 0.15, 0.26, 0.21, 0.12, 0.29, 0.14, 0.14, 0.19, 0.2, 0.27, 0.3, 0.24, 0.14, 0.16, 0.13, 0.1, 0.23, 0.22, 0.2, 0.19, 0.35, 0.3, 0.34, 0.2, 0.21, 0.1, 0.15, 0.23, 0.35, 0.14, 0.37, 0.16, 0.24, 0.2, 0.11, 0.21, 0.1, 0.26, 0.1, 0.15, 0.17, 0.26, 0.2, 0.13, 0.17, 0.12, 0.29, 0.22, 0.22, 0.23, 0.14, 0.22, 0.23, 0.22, 0.17, 0.19, 0.31, 0.21, 0.14, 0.14, 0.31, 0.27, 0.2, 0.21, 0.2, 0.14, 0.35, 0.28, 0.24, 0.19, 0.1, 0.18, 0.2, 0.16, 0.13, 0.12, 0.09, 0.09, 0.18, 0.09, 0.14, 0.16, 0.21, 0.11, 0.17, 0.1, 0.29, 0.05, 0.23, 0.14, 0.28, 0.19, 0.21, 0.20202020202020202]"
81,"[0.2376237623762376, 0.18, 0.22, 0.23, 0.09, 0.26, 0.12, 0.14, 0.08, 0.33, 0.23, 0.22, 0.13, 0.11, 0.24, 0.12, 0.19, 0.23, 0.2, 0.21, 0.16, 0.35, 0.17, 0.22, 0.22, 0.17, 0.12, 0.18, 0.09, 0.24, 0.21, 0.24, 0.17, 0.14, 0.12, 0.19, 0.15, 0.16, 0.19, 0.22, 0.28, 0.17, 0.23, 0.09, 0.2, 0.13, 0.14, 0.2, 0.13, 0.27, 0.24, 0.13, 0.19, 0.19, 0.13, 0.3, 0.17, 0.27, 0.21, 0.19, 0.19, 0.32, 0.16, 0.23, 0.2, 0.29, 0.12, 0.18, 0.16, 0.16, 0.17, 0.11, 0.1, 0.12, 0.19, 0.21, 0.23, 0.07, 0.17, 0.12, 0.15, 0.3, 0.25, 0.28, 0.23, 0.31, 0.22, 0.16, 0.2, 0.18, 0.24, 0.2, 0.18, 0.22, 0.2, 0.11, 0.15, 0.17, 0.21, 0.29292929292929293]"
82,"[0.15841584158415842, 0.3, 0.19, 0.1, 0.2, 0.15, 0.16, 0.26, 0.22, 0.12, 0.31, 0.08, 0.14, 0.18, 0.19, 0.26, 0.33, 0.24, 0.14, 0.18, 0.14, 0.09, 0.23, 0.22, 0.2, 0.2, 0.35, 0.3, 0.35, 0.2, 0.21, 0.1, 0.17, 0.24, 0.36, 0.14, 0.37, 0.17, 0.24, 0.21, 0.12, 0.21, 0.13, 0.26, 0.14, 0.15, 0.18, 0.26, 0.19, 0.13, 0.17, 0.13, 0.29, 0.23, 0.22, 0.23, 0.14, 0.22, 0.25, 0.22, 0.17, 0.19, 0.3, 0.2, 0.13, 0.14, 0.3, 0.27, 0.2, 0.22, 0.2, 0.17, 0.35, 0.28, 0.23, 0.21, 0.14, 0.19, 0.2, 0.16, 0.13, 0.12, 0.09, 0.09, 0.18, 0.09, 0.15, 0.16, 0.21, 0.11, 0.17, 0.1, 0.31, 0.04, 0.23, 0.14, 0.28, 0.11, 0.21, 0.18181818181818182]"
83,"[0.2376237623762376, 0.18, 0.21, 0.24, 0.09, 0.27, 0.17, 0.14, 0.08, 0.33, 0.25, 0.24, 0.13, 0.11, 0.24, 0.12, 0.22, 0.23, 0.2, 0.24, 0.16, 0.35, 0.17, 0.23, 0.22, 0.19, 0.12, 0.18, 0.09, 0.26, 0.21, 0.25, 0.17, 0.14, 0.12, 0.19, 0.13, 0.18, 0.21, 0.21, 0.28, 0.18, 0.23, 0.09, 0.2, 0.14, 0.11, 0.21, 0.13, 0.27, 0.23, 0.16, 0.19, 0.23, 0.13, 0.29, 0.17, 0.23, 0.21, 0.22, 0.19, 0.36, 0.15, 0.23, 0.21, 0.29, 0.12, 0.21, 0.18, 0.17, 0.18, 0.11, 0.1, 0.06, 0.17, 0.21, 0.23, 0.07, 0.17, 0.14, 0.15, 0.29, 0.25, 0.27, 0.24, 0.31, 0.22, 0.16, 0.22, 0.18, 0.24, 0.19, 0.18, 0.22, 0.21, 0.11, 0.15, 0.17, 0.23, 0.30303030303030304]"
84,"[0.16831683168316833, 0.3, 0.19, 0.1, 0.2, 0.15, 0.16, 0.26, 0.24, 0.12, 0.28, 0.08, 0.18, 0.18, 0.18, 0.27, 0.31, 0.24, 0.14, 0.18, 0.14, 0.11, 0.23, 0.24, 0.24, 0.21, 0.35, 0.31, 0.36, 0.2, 0.21, 0.1, 0.17, 0.24, 0.37, 0.14, 0.37, 0.16, 0.23, 0.21, 0.12, 0.21, 0.16, 0.27, 0.18, 0.17, 0.2, 0.26, 0.19, 0.12, 0.17, 0.14, 0.29, 0.23, 0.23, 0.25, 0.14, 0.25, 0.25, 0.22, 0.17, 0.23, 0.3, 0.21, 0.13, 0.14, 0.3, 0.22, 0.2, 0.26, 0.21, 0.21, 0.34, 0.28, 0.23, 0.21, 0.16, 0.2, 0.2, 0.16, 0.14, 0.12, 0.09, 0.09, 0.18, 0.09, 0.18, 0.17, 0.21, 0.11, 0.17, 0.1, 0.31, 0.09, 0.23, 0.14, 0.28, 0.19, 0.21, 0.18181818181818182]"
85,"[0.25742574257425743, 0.2, 0.19, 0.26, 0.09, 0.27, 0.23, 0.14, 0.08, 0.31, 0.25, 0.27, 0.13, 0.09, 0.24, 0.12, 0.21, 0.23, 0.21, 0.24, 0.16, 0.36, 0.18, 0.25, 0.22, 0.19, 0.12, 0.19, 0.11, 0.26, 0.21, 0.25, 0.17, 0.15, 0.12, 0.19, 0.11, 0.18, 0.19, 0.22, 0.29, 0.17, 0.23, 0.1, 0.2, 0.15, 0.18, 0.21, 0.14, 0.27, 0.23, 0.16, 0.19, 0.26, 0.16, 0.29, 0.17, 0.24, 0.21, 0.26, 0.19, 0.36, 0.15, 0.24, 0.21, 0.29, 0.12, 0.18, 0.18, 0.18, 0.19, 0.11, 0.1, 0.08, 0.17, 0.21, 0.23, 0.08, 0.17, 0.14, 0.15, 0.26, 0.24, 0.28, 0.24, 0.32, 0.22, 0.16, 0.23, 0.17, 0.24, 0.18, 0.18, 0.22, 0.18, 0.12, 0.16, 0.17, 0.24, 0.31313131313131315]"
86,"[0.16831683168316833, 0.29, 0.19, 0.1, 0.21, 0.15, 0.16, 0.26, 0.25, 0.12, 0.29, 0.12, 0.18, 0.18, 0.17, 0.26, 0.31, 0.24, 0.15, 0.21, 0.16, 0.11, 0.23, 0.26, 0.25, 0.22, 0.35, 0.32, 0.35, 0.21, 0.21, 0.1, 0.17, 0.24, 0.33, 0.14, 0.38, 0.15, 0.24, 0.22, 0.12, 0.21, 0.18, 0.26, 0.18, 0.18, 0.2, 0.26, 0.19, 0.13, 0.17, 0.14, 0.29, 0.24, 0.21, 0.25, 0.15, 0.26, 0.25, 0.22, 0.17, 0.24, 0.3, 0.21, 0.13, 0.14, 0.23, 0.28, 0.2, 0.28, 0.21, 0.22, 0.34, 0.31, 0.23, 0.22, 0.17, 0.2, 0.2, 0.16, 0.14, 0.12, 0.09, 0.09, 0.18, 0.09, 0.2, 0.19, 0.21, 0.11, 0.17, 0.1, 0.32, 0.1, 0.23, 0.14, 0.28, 0.18, 0.21, 0.1919191919191919]"
87,"[0.24752475247524752, 0.21, 0.19, 0.26, 0.09, 0.27, 0.26, 0.14, 0.08, 0.31, 0.25, 0.27, 0.14, 0.11, 0.24, 0.12, 0.22, 0.23, 0.22, 0.22, 0.17, 0.36, 0.18, 0.25, 0.21, 0.19, 0.12, 0.21, 0.14, 0.27, 0.21, 0.25, 0.17, 0.13, 0.14, 0.19, 0.11, 0.2, 0.19, 0.2, 0.29, 0.17, 0.23, 0.09, 0.22, 0.17, 0.18, 0.2, 0.14, 0.27, 0.23, 0.16, 0.2, 0.26, 0.17, 0.28, 0.17, 0.26, 0.21, 0.29, 0.18, 0.37, 0.16, 0.24, 0.21, 0.26, 0.12, 0.2, 0.18, 0.19, 0.19, 0.11, 0.1, 0.06, 0.17, 0.21, 0.23, 0.08, 0.17, 0.15, 0.15, 0.25, 0.24, 0.26, 0.24, 0.31, 0.22, 0.16, 0.23, 0.17, 0.24, 0.19, 0.18, 0.23, 0.18, 0.11, 0.16, 0.17, 0.25, 0.32323232323232326]"
88,"[0.16831683168316833, 0.29, 0.19, 0.1, 0.22, 0.15, 0.16, 0.26, 0.26, 0.13, 0.29, 0.12, 0.19, 0.18, 0.19, 0.26, 0.31, 0.24, 0.17, 0.21, 0.16, 0.12, 0.23, 0.26, 0.25, 0.23, 0.35, 0.33, 0.35, 0.2, 0.21, 0.1, 0.17, 0.24, 0.33, 0.14, 0.42, 0.16, 0.24, 0.23, 0.14, 0.24, 0.18, 0.25, 0.21, 0.18, 0.22, 0.29, 0.19, 0.13, 0.17, 0.14, 0.29, 0.25, 0.19, 0.25, 0.15, 0.26, 0.25, 0.22, 0.17, 0.21, 0.29, 0.2, 0.13, 0.14, 0.22, 0.27, 0.19, 0.29, 0.2, 0.22, 0.34, 0.31, 0.23, 0.22, 0.17, 0.2, 0.2, 0.16, 0.14, 0.14, 0.1, 0.09, 0.18, 0.09, 0.21, 0.21, 0.22, 0.11, 0.17, 0.1, 0.32, 0.12, 0.23, 0.14, 0.28, 0.23, 0.21, 0.18181818181818182]"
89,"[0.24752475247524752, 0.21, 0.19, 0.28, 0.09, 0.27, 0.28, 0.14, 0.08, 0.34, 0.25, 0.27, 0.17, 0.11, 0.24, 0.13, 0.23, 0.23, 0.23, 0.22, 0.18, 0.36, 0.18, 0.26, 0.21, 0.19, 0.12, 0.21, 0.15, 0.28, 0.21, 0.25, 0.17, 0.13, 0.14, 0.19, 0.1, 0.2, 0.18, 0.18, 0.29, 0.17, 0.23, 0.1, 0.2, 0.18, 0.17, 0.2, 0.14, 0.26, 0.23, 0.16, 0.23, 0.26, 0.19, 0.27, 0.17, 0.27, 0.21, 0.29, 0.18, 0.37, 0.16, 0.24, 0.22, 0.28, 0.12, 0.2, 0.2, 0.21, 0.16, 0.11, 0.1, 0.06, 0.17, 0.21, 0.23, 0.09, 0.16, 0.18, 0.19, 0.23, 0.23, 0.26, 0.23, 0.32, 0.22, 0.16, 0.24, 0.17, 0.24, 0.19, 0.18, 0.25, 0.17, 0.12, 0.17, 0.17, 0.25, 0.3333333333333333]"
90,"[0.1782178217821782, 0.29, 0.19, 0.12, 0.23, 0.15, 0.17, 0.26, 0.27, 0.12, 0.29, 0.13, 0.19, 0.18, 0.22, 0.24, 0.32, 0.24, 0.18, 0.23, 0.16, 0.11, 0.23, 0.27, 0.25, 0.23, 0.35, 0.33, 0.35, 0.21, 0.21, 0.1, 0.17, 0.25, 0.32, 0.14, 0.44, 0.17, 0.24, 0.25, 0.14, 0.25, 0.18, 0.23, 0.21, 0.19, 0.24, 0.31, 0.21, 0.14, 0.17, 0.16, 0.29, 0.25, 0.18, 0.25, 0.15, 0.26, 0.25, 0.22, 0.17, 0.22, 0.28, 0.18, 0.14, 0.15, 0.21, 0.23, 0.2, 0.29, 0.2, 0.24, 0.34, 0.3, 0.23, 0.23, 0.19, 0.21, 0.2, 0.16, 0.15, 0.16, 0.11, 0.09, 0.18, 0.09, 0.22, 0.23, 0.22, 0.11, 0.17, 0.1, 0.32, 0.13, 0.23, 0.14, 0.28, 0.22, 0.21, 0.18181818181818182]"
91,"[0.22772277227722773, 0.22, 0.18, 0.28, 0.09, 0.27, 0.29, 0.14, 0.08, 0.31, 0.25, 0.27, 0.17, 0.11, 0.24, 0.13, 0.22, 0.24, 0.23, 0.23, 0.18, 0.35, 0.18, 0.25, 0.21, 0.19, 0.12, 0.21, 0.15, 0.28, 0.21, 0.25, 0.17, 0.13, 0.16, 0.19, 0.1, 0.2, 0.17, 0.18, 0.29, 0.18, 0.23, 0.09, 0.2, 0.19, 0.22, 0.21, 0.13, 0.26, 0.23, 0.16, 0.23, 0.26, 0.2, 0.27, 0.17, 0.26, 0.21, 0.3, 0.19, 0.37, 0.16, 0.24, 0.22, 0.28, 0.12, 0.2, 0.21, 0.22, 0.16, 0.11, 0.1, 0.07, 0.17, 0.21, 0.23, 0.09, 0.16, 0.2, 0.22, 0.23, 0.22, 0.25, 0.23, 0.3, 0.22, 0.16, 0.25, 0.17, 0.24, 0.2, 0.18, 0.23, 0.17, 0.12, 0.18, 0.17, 0.26, 0.31313131313131315]"
92,"[0.1782178217821782, 0.29, 0.19, 0.12, 0.23, 0.15, 0.14, 0.26, 0.28, 0.14, 0.3, 0.13, 0.22, 0.18, 0.23, 0.25, 0.32, 0.24, 0.18, 0.24, 0.16, 0.12, 0.23, 0.27, 0.24, 0.24, 0.35, 0.33, 0.36, 0.22, 0.21, 0.1, 0.17, 0.25, 0.3, 0.14, 0.43, 0.18, 0.24, 0.24, 0.16, 0.24, 0.18, 0.22, 0.23, 0.2, 0.24, 0.32, 0.23, 0.14, 0.17, 0.15, 0.29, 0.25, 0.18, 0.25, 0.15, 0.26, 0.25, 0.22, 0.17, 0.23, 0.28, 0.17, 0.16, 0.15, 0.21, 0.22, 0.19, 0.3, 0.2, 0.23, 0.34, 0.29, 0.23, 0.23, 0.19, 0.21, 0.2, 0.16, 0.15, 0.17, 0.12, 0.09, 0.18, 0.11, 0.23, 0.22, 0.22, 0.11, 0.18, 0.1, 0.3, 0.12, 0.24, 0.14, 0.28, 0.15, 0.21, 0.18181818181818182]"
93,"[0.21782178217821782, 0.21, 0.18, 0.28, 0.09, 0.27, 0.28, 0.14, 0.08, 0.34, 0.25, 0.27, 0.17, 0.12, 0.24, 0.13, 0.22, 0.25, 0.23, 0.23, 0.18, 0.34, 0.18, 0.26, 0.22, 0.2, 0.13, 0.21, 0.16, 0.26, 0.21, 0.25, 0.17, 0.15, 0.17, 0.19, 0.1, 0.2, 0.17, 0.18, 0.28, 0.18, 0.23, 0.1, 0.2, 0.2, 0.22, 0.2, 0.14, 0.26, 0.23, 0.16, 0.25, 0.26, 0.21, 0.24, 0.17, 0.27, 0.21, 0.29, 0.18, 0.36, 0.16, 0.23, 0.22, 0.26, 0.12, 0.22, 0.21, 0.23, 0.16, 0.13, 0.1, 0.07, 0.18, 0.21, 0.23, 0.11, 0.15, 0.2, 0.22, 0.23, 0.22, 0.25, 0.22, 0.29, 0.22, 0.16, 0.25, 0.17, 0.24, 0.19, 0.18, 0.21, 0.18, 0.13, 0.19, 0.17, 0.26, 0.3333333333333333]"
94,"[0.1782178217821782, 0.26, 0.19, 0.12, 0.25, 0.15, 0.18, 0.26, 0.28, 0.15, 0.28, 0.15, 0.23, 0.19, 0.24, 0.21, 0.3, 0.24, 0.18, 0.29, 0.17, 0.15, 0.23, 0.28, 0.25, 0.26, 0.35, 0.33, 0.32, 0.23, 0.21, 0.1, 0.19, 0.26, 0.29, 0.14, 0.43, 0.2, 0.23, 0.27, 0.16, 0.24, 0.18, 0.22, 0.23, 0.2, 0.27, 0.33, 0.26, 0.14, 0.17, 0.16, 0.29, 0.25, 0.19, 0.25, 0.15, 0.25, 0.25, 0.22, 0.17, 0.22, 0.27, 0.17, 0.16, 0.15, 0.2, 0.23, 0.19, 0.3, 0.2, 0.25, 0.33, 0.29, 0.23, 0.23, 0.19, 0.21, 0.2, 0.16, 0.15, 0.22, 0.14, 0.1, 0.18, 0.15, 0.24, 0.24, 0.22, 0.11, 0.18, 0.1, 0.29, 0.14, 0.24, 0.14, 0.28, 0.23, 0.21, 0.1919191919191919]"
95,"[0.2079207920792079, 0.25, 0.18, 0.28, 0.09, 0.27, 0.31, 0.14, 0.08, 0.34, 0.25, 0.27, 0.21, 0.12, 0.24, 0.13, 0.22, 0.26, 0.23, 0.2, 0.19, 0.33, 0.18, 0.26, 0.22, 0.2, 0.15, 0.21, 0.18, 0.26, 0.21, 0.25, 0.17, 0.15, 0.16, 0.19, 0.1, 0.22, 0.18, 0.18, 0.27, 0.18, 0.24, 0.09, 0.21, 0.2, 0.23, 0.2, 0.14, 0.25, 0.23, 0.16, 0.25, 0.26, 0.26, 0.24, 0.17, 0.27, 0.21, 0.31, 0.18, 0.36, 0.16, 0.23, 0.23, 0.26, 0.12, 0.22, 0.21, 0.24, 0.16, 0.15, 0.12, 0.08, 0.19, 0.21, 0.23, 0.15, 0.16, 0.2, 0.25, 0.24, 0.23, 0.25, 0.21, 0.3, 0.22, 0.16, 0.25, 0.17, 0.24, 0.2, 0.18, 0.22, 0.18, 0.14, 0.19, 0.17, 0.28, 0.3434343434343434]"
96,"[0.1782178217821782, 0.25, 0.19, 0.12, 0.26, 0.15, 0.15, 0.26, 0.28, 0.15, 0.29, 0.17, 0.24, 0.19, 0.27, 0.23, 0.3, 0.24, 0.2, 0.3, 0.18, 0.13, 0.23, 0.29, 0.22, 0.26, 0.34, 0.33, 0.3, 0.28, 0.21, 0.1, 0.21, 0.28, 0.29, 0.14, 0.44, 0.21, 0.23, 0.25, 0.2, 0.24, 0.18, 0.22, 0.24, 0.23, 0.27, 0.33, 0.29, 0.14, 0.17, 0.16, 0.29, 0.25, 0.17, 0.25, 0.17, 0.25, 0.25, 0.22, 0.19, 0.2, 0.28, 0.16, 0.17, 0.15, 0.18, 0.23, 0.19, 0.3, 0.2, 0.25, 0.33, 0.28, 0.23, 0.23, 0.2, 0.21, 0.2, 0.16, 0.15, 0.23, 0.14, 0.1, 0.18, 0.16, 0.26, 0.26, 0.21, 0.11, 0.21, 0.1, 0.29, 0.19, 0.23, 0.14, 0.28, 0.2, 0.21, 0.18181818181818182]"
97,"[0.19801980198019803, 0.22, 0.21, 0.28, 0.09, 0.27, 0.33, 0.14, 0.08, 0.32, 0.26, 0.26, 0.23, 0.12, 0.25, 0.15, 0.22, 0.26, 0.23, 0.23, 0.19, 0.34, 0.18, 0.27, 0.23, 0.21, 0.15, 0.24, 0.19, 0.26, 0.21, 0.25, 0.17, 0.17, 0.17, 0.2, 0.1, 0.23, 0.21, 0.18, 0.27, 0.18, 0.24, 0.09, 0.22, 0.2, 0.25, 0.2, 0.15, 0.25, 0.23, 0.16, 0.24, 0.28, 0.28, 0.24, 0.18, 0.26, 0.21, 0.32, 0.19, 0.35, 0.16, 0.22, 0.23, 0.26, 0.12, 0.24, 0.22, 0.25, 0.16, 0.22, 0.12, 0.09, 0.19, 0.21, 0.23, 0.16, 0.15, 0.22, 0.29, 0.28, 0.23, 0.25, 0.21, 0.3, 0.22, 0.16, 0.25, 0.17, 0.24, 0.22, 0.18, 0.23, 0.19, 0.19, 0.24, 0.17, 0.28, 0.3434343434343434]"
98,"[0.18811881188118812, 0.2, 0.19, 0.13, 0.27, 0.15, 0.2, 0.26, 0.32, 0.15, 0.28, 0.19, 0.28, 0.18, 0.26, 0.21, 0.3, 0.24, 0.21, 0.34, 0.19, 0.16, 0.23, 0.29, 0.2, 0.28, 0.33, 0.31, 0.29, 0.31, 0.21, 0.1, 0.21, 0.29, 0.27, 0.14, 0.45, 0.21, 0.24, 0.26, 0.22, 0.26, 0.19, 0.21, 0.24, 0.23, 0.27, 0.33, 0.29, 0.14, 0.17, 0.17, 0.29, 0.25, 0.18, 0.26, 0.18, 0.26, 0.25, 0.24, 0.19, 0.19, 0.26, 0.14, 0.17, 0.15, 0.17, 0.26, 0.19, 0.3, 0.2, 0.27, 0.33, 0.27, 0.23, 0.24, 0.21, 0.21, 0.2, 0.16, 0.15, 0.23, 0.15, 0.14, 0.18, 0.21, 0.26, 0.26, 0.21, 0.11, 0.22, 0.1, 0.29, 0.22, 0.23, 0.13, 0.28, 0.26, 0.21, 0.1919191919191919]"
99,"[0.19801980198019803, 0.24, 0.22, 0.28, 0.11, 0.26, 0.33, 0.15, 0.08, 0.31, 0.25, 0.27, 0.25, 0.12, 0.25, 0.18, 0.23, 0.26, 0.23, 0.2, 0.18, 0.36, 0.18, 0.26, 0.24, 0.2, 0.17, 0.24, 0.19, 0.26, 0.22, 0.25, 0.17, 0.16, 0.16, 0.22, 0.1, 0.23, 0.22, 0.16, 0.26, 0.18, 0.23, 0.11, 0.22, 0.21, 0.33, 0.2, 0.15, 0.26, 0.22, 0.16, 0.26, 0.29, 0.28, 0.23, 0.17, 0.27, 0.21, 0.34, 0.19, 0.35, 0.16, 0.2, 0.23, 0.24, 0.13, 0.24, 0.22, 0.25, 0.16, 0.19, 0.13, 0.11, 0.22, 0.21, 0.23, 0.16, 0.18, 0.24, 0.29, 0.29, 0.23, 0.25, 0.2, 0.3, 0.22, 0.18, 0.25, 0.17, 0.24, 0.23, 0.19, 0.23, 0.18, 0.21, 0.25, 0.17, 0.28, 0.32323232323232326]"
