in_deg_centrality,[10  3  0  8 14 17 25 24 16]
44,"[tensor(0.0436, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0484, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0745, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0418, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.1853, device='cuda:0'), tensor(0.0305, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0188, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0214, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0178, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0124, device='cuda:0')]"
45,"[tensor(0.0468, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0224, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0248, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0183, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0173, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0217, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0108, device='cuda:0')]"
46,"[tensor(0.0103, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.2166, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0206, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0201, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.1918, device='cuda:0'), tensor(0.0278, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0166, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0173, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0276, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0140, device='cuda:0')]"
47,"[tensor(0.0103, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0243, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0100, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0190, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0233, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0224, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0105, device='cuda:0')]"
48,"[tensor(0.0285, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0836, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0226, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0764, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0180, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0187, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0167, device='cuda:0'), tensor(0.0197, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0114, device='cuda:0')]"
49,"[tensor(0.0206, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0174, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0279, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0223, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0112, device='cuda:0')]"
50,"[tensor(0.0172, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0930, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0214, device='cuda:0'), tensor(0.2052, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0213, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0174, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0303, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0263, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0127, device='cuda:0')]"
51,"[tensor(0.0213, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0195, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0200, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0256, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0226, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0106, device='cuda:0')]"
52,"[tensor(0.0107, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0236, device='cuda:0'), tensor(0.1506, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0178, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0515, device='cuda:0'), tensor(0.0339, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0206, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0193, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0141, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0222, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0272, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0220, device='cuda:0'), tensor(0.0160, device='cuda:0'), tensor(0.0221, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0116, device='cuda:0')]"
53,"[tensor(0.0407, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0304, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0313, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0116, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0219, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0105, device='cuda:0')]"
54,"[tensor(0.0337, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0543, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0170, device='cuda:0'), tensor(0.0566, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0172, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.1530, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0185, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0202, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0157, device='cuda:0'), tensor(0.0214, device='cuda:0'), tensor(0.0137, device='cuda:0'), tensor(0.0136, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0294, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0234, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0118, device='cuda:0')]"
55,"[tensor(0.0205, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0101, device='cuda:0'), tensor(0.0240, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0174, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0109, device='cuda:0'), tensor(0.0221, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0261, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0219, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0161, device='cuda:0'), tensor(0.0119, device='cuda:0'), tensor(0.0120, device='cuda:0')]"
56,"[tensor(0.0190, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0155, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.3686, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0272, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0251, device='cuda:0'), tensor(0.0304, device='cuda:0'), tensor(0.0706, device='cuda:0'), tensor(0.0269, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0159, device='cuda:0'), tensor(0.0153, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0192, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0192, device='cuda:0'), tensor(0.0183, device='cuda:0'), tensor(0.0190, device='cuda:0'), tensor(0.0154, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0302, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0202, device='cuda:0'), tensor(0.0149, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0125, device='cuda:0')]"
57,"[tensor(0.0128, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0205, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0213, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0303, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0139, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0191, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0109, device='cuda:0')]"
58,"[tensor(0.0132, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0318, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0124, device='cuda:0'), tensor(0.0179, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0144, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0150, device='cuda:0'), tensor(0.0171, device='cuda:0'), tensor(0.0889, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0145, device='cuda:0'), tensor(0.0123, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0142, device='cuda:0'), tensor(0.0147, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0164, device='cuda:0'), tensor(0.0121, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0122, device='cuda:0'), tensor(0.0258, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0214, device='cuda:0'), tensor(0.0111, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0162, device='cuda:0'), tensor(0.0234, device='cuda:0'), tensor(0.0110, device='cuda:0'), tensor(0.0121, device='cuda:0')]"
59,"[tensor(0.0144, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0132, device='cuda:0'), tensor(0.0108, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0245, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0143, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0151, device='cuda:0'), tensor(0.0102, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0175, device='cuda:0'), tensor(0.0135, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0103, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0168, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0104, device='cuda:0'), tensor(0.0197, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0169, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0223, device='cuda:0'), tensor(0.0114, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0105, device='cuda:0'), tensor(0.0234, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0107, device='cuda:0')]"
60,"[tensor(0.0316, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0327, device='cuda:0'), tensor(0.1087, device='cuda:0'), tensor(0.0112, device='cuda:0'), tensor(0.0125, device='cuda:0'), tensor(0.0170, device='cuda:0'), tensor(0.0354, device='cuda:0'), tensor(0.0152, device='cuda:0'), tensor(0.0318, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0594, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0115, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0165, device='cuda:0'), tensor(0.0131, device='cuda:0'), tensor(0.0210, device='cuda:0'), tensor(0.0134, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0129, device='cuda:0'), tensor(0.0107, device='cuda:0'), tensor(0.0126, device='cuda:0'), tensor(0.0127, device='cuda:0'), tensor(0.0146, device='cuda:0'), tensor(0.0203, device='cuda:0'), tensor(0.0130, device='cuda:0'), tensor(0.0198, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0148, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0200, device='cuda:0'), tensor(0.0118, device='cuda:0'), tensor(0.0128, device='cuda:0'), tensor(0.0120, device='cuda:0'), tensor(0.0215, device='cuda:0'), tensor(0.0113, device='cuda:0'), tensor(0.0199, device='cuda:0'), tensor(0.0158, device='cuda:0'), tensor(0.0240, device='cuda:0'), tensor(0.0117, device='cuda:0'), tensor(0.0123, device='cuda:0')]"
