closeness_centrality,[5. 2.]
52,"[tensor(1.7765), tensor(1.7907), tensor(1.6458), tensor(1.7047), tensor(1.7942), tensor(1.8244), tensor(1.7377), tensor(1.8357), tensor(1.6541), tensor(1.7059)]"
53,"[tensor(1.7513), tensor(1.7293), tensor(1.8326), tensor(1.8424), tensor(1.6513), tensor(1.6484), tensor(1.7485), tensor(1.7133), tensor(1.8310), tensor(1.7999)]"
54,"[tensor(1.7911), tensor(1.8020), tensor(1.6571), tensor(1.7118), tensor(1.8109), tensor(1.8471), tensor(1.7521), tensor(1.8614), tensor(1.6616), tensor(1.7515)]"
55,"[tensor(1.7715), tensor(1.7647), tensor(1.8500), tensor(1.8645), tensor(1.6680), tensor(1.6612), tensor(1.7662), tensor(1.7242), tensor(1.8484), tensor(1.8063)]"
56,"[tensor(1.8018), tensor(1.8101), tensor(1.6732), tensor(1.7288), tensor(1.8227), tensor(1.8660), tensor(1.7670), tensor(1.8814), tensor(1.6782), tensor(1.7735)]"
57,"[tensor(1.7876), tensor(1.7846), tensor(1.8632), tensor(1.8799), tensor(1.6881), tensor(1.6776), tensor(1.7791), tensor(1.7435), tensor(1.8650), tensor(1.8114)]"
58,"[tensor(1.8139), tensor(1.8207), tensor(1.6900), tensor(1.7457), tensor(1.8363), tensor(1.8844), tensor(1.7856), tensor(1.8956), tensor(1.6951), tensor(1.7864)]"
59,"[tensor(1.7960), tensor(1.7939), tensor(1.8804), tensor(1.8922), tensor(1.6988), tensor(1.6981), tensor(1.7887), tensor(1.7565), tensor(1.8809), tensor(1.8244)]"
60,"[tensor(1.8309), tensor(1.8394), tensor(1.7023), tensor(1.7635), tensor(1.8510), tensor(1.8996), tensor(1.8037), tensor(1.9053), tensor(1.7125), tensor(1.7931)]"
61,"[tensor(1.8106), tensor(1.7999), tensor(1.8978), tensor(1.9035), tensor(1.7060), tensor(1.7148), tensor(1.8033), tensor(1.7743), tensor(1.8955), tensor(1.8405)]"
62,"[tensor(1.8449), tensor(1.8512), tensor(1.7155), tensor(1.7728), tensor(1.8623), tensor(1.9162), tensor(1.8179), tensor(1.9149), tensor(1.7249), tensor(1.8070)]"
63,"[tensor(1.8220), tensor(1.8126), tensor(1.9134), tensor(1.9125), tensor(1.7200), tensor(1.7270), tensor(1.8163), tensor(1.7863), tensor(1.9056), tensor(1.8518)]"
64,"[tensor(1.8607), tensor(1.8656), tensor(1.7227), tensor(1.7795), tensor(1.8719), tensor(1.9301), tensor(1.8297), tensor(1.9252), tensor(1.7319), tensor(1.8124)]"
65,"[tensor(1.8380), tensor(1.8274), tensor(1.9274), tensor(1.9253), tensor(1.7285), tensor(1.7379), tensor(1.8328), tensor(1.7968), tensor(1.9152), tensor(1.8627)]"
66,"[tensor(1.8715), tensor(1.8798), tensor(1.7255), tensor(1.7816), tensor(1.8914), tensor(1.9454), tensor(1.8342), tensor(1.9411), tensor(1.7408), tensor(1.8310)]"
67,"[tensor(1.8622), tensor(1.8449), tensor(1.9410), tensor(1.9414), tensor(1.7366), tensor(1.7417), tensor(1.8577), tensor(1.8044), tensor(1.9330), tensor(1.8738)]"
