closeness_centrality,[5.]
46,"[tensor(2.2656), tensor(2.2601), tensor(2.2577), tensor(2.2551), tensor(2.2385), tensor(2.2370), tensor(2.2656), tensor(2.2502), tensor(2.2597), tensor(2.2483)]"
47,"[tensor(2.2524), tensor(2.2577), tensor(2.2654), tensor(2.2584), tensor(2.2669), tensor(2.2635), tensor(2.2470), tensor(2.2670), tensor(2.2440), tensor(2.2584)]"
48,"[tensor(2.2723), tensor(2.2700), tensor(2.2694), tensor(2.2683), tensor(2.2608), tensor(2.2459), tensor(2.2742), tensor(2.2562), tensor(2.2688), tensor(2.2640)]"
49,"[tensor(2.2638), tensor(2.2647), tensor(2.2754), tensor(2.2639), tensor(2.2764), tensor(2.2715), tensor(2.2630), tensor(2.2776), tensor(2.2614), tensor(2.2744)]"
50,"[tensor(2.2796), tensor(2.2776), tensor(2.2802), tensor(2.2796), tensor(2.2762), tensor(2.2526), tensor(2.2813), tensor(2.2650), tensor(2.2750), tensor(2.2761)]"
51,"[tensor(2.2682), tensor(2.2680), tensor(2.2735), tensor(2.2655), tensor(2.2820), tensor(2.2765), tensor(2.2698), tensor(2.2854), tensor(2.2674), tensor(2.2816)]"
52,"[tensor(2.2844), tensor(2.2812), tensor(2.2841), tensor(2.2849), tensor(2.2813), tensor(2.2585), tensor(2.2838), tensor(2.2673), tensor(2.2774), tensor(2.2785)]"
53,"[tensor(2.2727), tensor(2.2693), tensor(2.2745), tensor(2.2688), tensor(2.2846), tensor(2.2800), tensor(2.2727), tensor(2.2904), tensor(2.2695), tensor(2.2846)]"
54,"[tensor(2.2868), tensor(2.2828), tensor(2.2871), tensor(2.2875), tensor(2.2839), tensor(2.2637), tensor(2.2850), tensor(2.2678), tensor(2.2784), tensor(2.2807)]"
55,"[tensor(2.2763), tensor(2.2707), tensor(2.2732), tensor(2.2706), tensor(2.2850), tensor(2.2793), tensor(2.2745), tensor(2.2948), tensor(2.2714), tensor(2.2846)]"
56,"[tensor(2.2843), tensor(2.2796), tensor(2.2862), tensor(2.2866), tensor(2.2828), tensor(2.2692), tensor(2.2825), tensor(2.2696), tensor(2.2769), tensor(2.2776)]"
57,"[tensor(2.2771), tensor(2.2723), tensor(2.2729), tensor(2.2704), tensor(2.2803), tensor(2.2745), tensor(2.2780), tensor(2.2902), tensor(2.2703), tensor(2.2781)]"
58,"[tensor(2.2766), tensor(2.2716), tensor(2.2760), tensor(2.2757), tensor(2.2780), tensor(2.2690), tensor(2.2747), tensor(2.2733), tensor(2.2657), tensor(2.2720)]"
59,"[tensor(2.2738), tensor(2.2682), tensor(2.2656), tensor(2.2656), tensor(2.2703), tensor(2.2620), tensor(2.2716), tensor(2.2774), tensor(2.2632), tensor(2.2655)]"
60,"[tensor(2.2642), tensor(2.2606), tensor(2.2638), tensor(2.2647), tensor(2.2664), tensor(2.2695), tensor(2.2638), tensor(2.2713), tensor(2.2543), tensor(2.2631)]"
61,"[tensor(2.2692), tensor(2.2631), tensor(2.2572), tensor(2.2593), tensor(2.2600), tensor(2.2502), tensor(2.2655), tensor(2.2633), tensor(2.2539), tensor(2.2555)]"
62,"[tensor(2.2546), tensor(2.2534), tensor(2.2512), tensor(2.2585), tensor(2.2573), tensor(2.2608), tensor(2.2554), tensor(2.2707), tensor(2.2488), tensor(2.2543)]"
63,"[tensor(2.2629), tensor(2.2556), tensor(2.2504), tensor(2.2558), tensor(2.2521), tensor(2.2415), tensor(2.2581), tensor(2.2542), tensor(2.2483), tensor(2.2475)]"
64,"[tensor(2.2479), tensor(2.2463), tensor(2.2429), tensor(2.2521), tensor(2.2485), tensor(2.2509), tensor(2.2489), tensor(2.2666), tensor(2.2432), tensor(2.2473)]"
65,"[tensor(2.2536), tensor(2.2470), tensor(2.2449), tensor(2.2489), tensor(2.2449), tensor(2.2372), tensor(2.2475), tensor(2.2500), tensor(2.2385), tensor(2.2419)]"
66,"[tensor(2.2433), tensor(2.2431), tensor(2.2383), tensor(2.2481), tensor(2.2409), tensor(2.2419), tensor(2.2434), tensor(2.2576), tensor(2.2395), tensor(2.2403)]"
67,"[tensor(2.2467), tensor(2.2401), tensor(2.2384), tensor(2.2427), tensor(2.2385), tensor(2.2337), tensor(2.2397), tensor(2.2459), tensor(2.2316), tensor(2.2381)]"
68,"[tensor(2.2388), tensor(2.2394), tensor(2.2362), tensor(2.2447), tensor(2.2327), tensor(2.2335), tensor(2.2393), tensor(2.2492), tensor(2.2359), tensor(2.2348)]"
69,"[tensor(2.2400), tensor(2.2332), tensor(2.2337), tensor(2.2352), tensor(2.2329), tensor(2.2301), tensor(2.2320), tensor(2.2444), tensor(2.2258), tensor(2.2345)]"
70,"[tensor(2.2353), tensor(2.2371), tensor(2.2346), tensor(2.2427), tensor(2.2287), tensor(2.2262), tensor(2.2368), tensor(2.2436), tensor(2.2326), tensor(2.2301)]"
71,"[tensor(2.2337), tensor(2.2269), tensor(2.2294), tensor(2.2297), tensor(2.2303), tensor(2.2260), tensor(2.2263), tensor(2.2439), tensor(2.2202), tensor(2.2335)]"
72,"[tensor(2.2338), tensor(2.2357), tensor(2.2328), tensor(2.2412), tensor(2.2262), tensor(2.2217), tensor(2.2368), tensor(2.2395), tensor(2.2302), tensor(2.2269)]"
73,"[tensor(2.2300), tensor(2.2219), tensor(2.2258), tensor(2.2265), tensor(2.2287), tensor(2.2232), tensor(2.2226), tensor(2.2444), tensor(2.2178), tensor(2.2324)]"
74,"[tensor(2.2306), tensor(2.2305), tensor(2.2309), tensor(2.2396), tensor(2.2247), tensor(2.2214), tensor(2.2334), tensor(2.2400), tensor(2.2271), tensor(2.2246)]"
75,"[tensor(2.2285), tensor(2.2201), tensor(2.2243), tensor(2.2259), tensor(2.2258), tensor(2.2189), tensor(2.2221), tensor(2.2417), tensor(2.2153), tensor(2.2292)]"
