out_deg_centrality,[8.]
44,"[tensor(1.8335), tensor(1.7853), tensor(1.8876), tensor(1.8254), tensor(1.8360), tensor(1.8622), tensor(1.7660), tensor(1.8723), tensor(1.8960), tensor(1.8679)]"
45,"[tensor(1.8427), tensor(1.8315), tensor(1.8611), tensor(1.9106), tensor(1.8621), tensor(1.8840), tensor(1.8909), tensor(1.8754), tensor(1.8190), tensor(1.8557)]"
46,"[tensor(1.8290), tensor(1.8061), tensor(1.8824), tensor(1.8386), tensor(1.8333), tensor(1.8734), tensor(1.7762), tensor(1.8604), tensor(1.9023), tensor(1.8610)]"
47,"[tensor(1.8572), tensor(1.8441), tensor(1.8658), tensor(1.8956), tensor(1.8657), tensor(1.8764), tensor(1.9007), tensor(1.8775), tensor(1.8113), tensor(1.8637)]"
48,"[tensor(1.8171), tensor(1.8211), tensor(1.8607), tensor(1.8506), tensor(1.8303), tensor(1.8784), tensor(1.7763), tensor(1.8442), tensor(1.9048), tensor(1.8457)]"
49,"[tensor(1.8582), tensor(1.8325), tensor(1.8590), tensor(1.8748), tensor(1.8533), tensor(1.8538), tensor(1.8886), tensor(1.8744), tensor(1.8119), tensor(1.8690)]"
50,"[tensor(1.8054), tensor(1.8182), tensor(1.8570), tensor(1.8458), tensor(1.8166), tensor(1.8753), tensor(1.7733), tensor(1.8434), tensor(1.9073), tensor(1.8324)]"
51,"[tensor(1.8620), tensor(1.8365), tensor(1.8648), tensor(1.8658), tensor(1.8570), tensor(1.8492), tensor(1.8893), tensor(1.8739), tensor(1.8073), tensor(1.8737)]"
52,"[tensor(1.8183), tensor(1.8303), tensor(1.8660), tensor(1.8597), tensor(1.8183), tensor(1.8744), tensor(1.7883), tensor(1.8508), tensor(1.9013), tensor(1.8344)]"
53,"[tensor(1.8692), tensor(1.8483), tensor(1.8635), tensor(1.8735), tensor(1.8620), tensor(1.8679), tensor(1.8878), tensor(1.8751), tensor(1.8046), tensor(1.8746)]"
54,"[tensor(1.8251), tensor(1.8329), tensor(1.8572), tensor(1.8556), tensor(1.8152), tensor(1.8683), tensor(1.7872), tensor(1.8438), tensor(1.9074), tensor(1.8386)]"
55,"[tensor(1.8640), tensor(1.8448), tensor(1.8692), tensor(1.8690), tensor(1.8518), tensor(1.8630), tensor(1.8776), tensor(1.8805), tensor(1.7852), tensor(1.8791)]"
56,"[tensor(1.8128), tensor(1.8183), tensor(1.8358), tensor(1.8592), tensor(1.8103), tensor(1.8708), tensor(1.7831), tensor(1.8168), tensor(1.9054), tensor(1.8262)]"
57,"[tensor(1.8549), tensor(1.8285), tensor(1.8605), tensor(1.8454), tensor(1.8437), tensor(1.8461), tensor(1.8616), tensor(1.8741), tensor(1.7734), tensor(1.8714)]"
58,"[tensor(1.7869), tensor(1.7924), tensor(1.8198), tensor(1.8555), tensor(1.8013), tensor(1.8616), tensor(1.7631), tensor(1.8054), tensor(1.8971), tensor(1.8021)]"
59,"[tensor(1.8341), tensor(1.8005), tensor(1.8542), tensor(1.8239), tensor(1.8363), tensor(1.8390), tensor(1.8446), tensor(1.8680), tensor(1.7600), tensor(1.8597)]"
60,"[tensor(1.7753), tensor(1.7745), tensor(1.8111), tensor(1.8587), tensor(1.7885), tensor(1.8556), tensor(1.7546), tensor(1.8049), tensor(1.8935), tensor(1.7866)]"
61,"[tensor(1.8248), tensor(1.7926), tensor(1.8606), tensor(1.8188), tensor(1.8292), tensor(1.8301), tensor(1.8362), tensor(1.8642), tensor(1.7481), tensor(1.8500)]"
62,"[tensor(1.7741), tensor(1.7647), tensor(1.8082), tensor(1.8542), tensor(1.7810), tensor(1.8532), tensor(1.7528), tensor(1.7961), tensor(1.8950), tensor(1.7872)]"
63,"[tensor(1.8218), tensor(1.7914), tensor(1.8604), tensor(1.8117), tensor(1.8356), tensor(1.8233), tensor(1.8460), tensor(1.8699), tensor(1.7498), tensor(1.8445)]"
